model,key,step,MAE,RMSE
LightGBM,lightgbm,17,15.995135307312012,39.661922454833984
LightGBM,lightgbm,18,15.78106689453125,39.68692398071289
LightGBM,lightgbm,19,15.204102516174316,39.764556884765625
LightGBM,lightgbm,20,14.811650276184082,41.37663650512695
LightGBM,lightgbm,21,15.29880142211914,42.03684616088867
LightGBM,lightgbm,22,14.000838279724121,40.5190315246582
LightGBM,lightgbm,23,13.715048789978027,40.64232635498047
LightGBM,lightgbm,24,13.012085914611816,39.78566360473633
LSTM,lstm,1,9.753692626953125,37.53279495239258
LSTM,lstm,2,9.732147216796875,36.33628845214844
LSTM,lstm,3,10.127389907836914,36.45864486694336
LSTM,lstm,4,10.66271686553955,35.70372009277344
LSTM,lstm,5,12.224970817565918,37.13832473754883
LSTM,lstm,6,13.569244384765625,39.05604934692383
LSTM,lstm,7,19.588958740234375,54.03765869140625
LSTM,lstm,8,15.783696174621582,42.00266647338867
LSTM,lstm,9,18.32699203491211,45.16255569458008
LSTM,lstm,10,21.5184383392334,52.74579620361328
LSTM,lstm,11,23.54681968688965,58.411705017089844
LSTM,lstm,12,24.189298629760742,62.959712982177734
LSTM,lstm,13,24.01081657409668,59.905128479003906
